Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,14.04.01,3,Da Competência do Município (art. 8º da LOM-Fortaleza),6,6
Direito Constitucional,14.04.02,3,Da Organização dos Poderes (arts. 9º a 94 da LOM-Fortaleza),2,2
Direito Constitucional,14.04.02.01,4,Do Poder Legislativo (arts. 16 a 66 da LOM-Fortaleza),2,2
Direito Constitucional,14.04.03,3,Da Administração Municipal (arts. 95 a 180 da LOM-Fortaleza),2,2
Direito Constitucional,14.04.03.01,4,Da Estrutura Administrativa (arts. 95 a 113 da LOM-Fortaleza),1,1
Direito Constitucional,14.04.03.02,4,Da Tributação e do Orçamento (arts. 163 a 180 da LOM-Fortaleza),1,1
Direito Constitucional,14.05,2,Lei Orgânica do Município de João Pessoa,1,1
Direito Constitucional,14.06,2,Lei Orgânica do Município de Maceió,6,6
Direito Constitucional,14.07,2,Lei Orgânica do Município de Manaus,9,9
Direito Constitucional,14.08,2,Lei Orgânica do Município de Natal,6,6
Direito Constitucional,14.09,2,Lei Orgânica do Município de Salvador,1,1
Direito Constitucional,14.10,2,Lei Orgânica do Município de São Paulo,1,1
Direito Constitucional,14.10.01,3,Da Organização dos Poderes (arts. 12 a 79 da LOM-SP),1,1
Direito Constitucional,14.11,2,Lei Orgânica do Município de Vitória,2,2
Direito Constitucional,14.12,2,Leis Orgânicas dos Demais Municípios,68,68
Direito Constitucional,15,1,Jurisprudência dos Tribunais Superiores em Matéria Constitucional,970,970
Direito Constitucional,15.01,2,Jurisprudência dos Tribunais Superiores sobre Direitos e Deveres Individuais e Coletivos,149,149
Direito Constitucional,15.02,2,Jurisprudência dos Tribunais Superiores sobre Remédios Constitucionais,78,78
Direito Constitucional,15.03,2,Jurisprudência dos Tribunais Superiores sobre Direitos Sociais e dos Trabalhadores,20,20
Direito Constitucional,15.04,2,Jurisprudência dos Tribunais Superiores sobre Nacionalidade,8,8
Direito Constitucional,15.05,2,Jurisprudência dos Tribunais Superiores sobre Direitos Políticos,11,11
Direito Constitucional,15.06,2,Jurisprudência dos Tribunais Superiores sobre Partidos Políticos,1,1
Direito Constitucional,15.07,2,Jurisprudência dos Tribunais Superiores sobre Organização Político-Administrativa,10,10
Direito Constitucional,15.08,2,"Jurisprudência dos Tribunais Superiores sobre Organização, Competências e Bens dos Entes Federativos",71,71
Direito Constitucional,15.09,2,Jurisprudência dos Tribunais Superiores sobre Intervenção Federal e Estadual,11,11
Direito Constitucional,15.10,2,Jurisprudência dos Tribunais Superiores sobre Administração Pública,111,111
Direito Constitucional,15.11,2,"Jurisprudência dos Tribunais Superiores sobre Congresso Nacional, Senado e Câmara dos Deputados",3,3
Direito Constitucional,15.12,2,Jurisprudência dos Tribunais Superiores sobre Deputados e Senadores,15,15
Direito Constitucional,15.13,2,Jurisprudência dos Tribunais Superiores sobre Comissões Parlamentares,16,16
Direito Constitucional,15.14,2,Jurisprudência dos Tribunais Superiores sobre Processo Legislativo,33,33
Direito Constitucional,15.15,2,"Jurisprudência dos Tribunais Superiores sobre Fiscalização Contábil, Financeira e Orçamentária",35,35
Direito Constitucional,15.16,2,Jurisprudência dos Tribunais Superiores sobre Atribuições e Responsabilidades do Chefe do Executivo,15,15
Direito Constitucional,15.17,2,Jurisprudência dos Tribunais Superiores sobre Disposições Gerais do Poder Judiciário,17,17
Direito Constitucional,15.18,2,Jurisprudência dos Tribunais Superiores sobre Órgãos do Poder Judiciário,50,50
Direito Constitucional,15.19,2,Jurisprudência dos Tribunais Superiores sobre Funções Essenciais à Justiça,67,67
Direito Constitucional,15.20,2,Jurisprudência dos Tribunais Superiores sobre Segurança Pública,9,9
Direito Constitucional,15.21,2,Jurisprudência dos Tribunais Superiores sobre Sistema Tributário Nacional,27,27
Direito Constitucional,15.22,2,Jurisprudência dos Tribunais Superiores sobre Finanças Públicas,5,5
Direito Constitucional,15.23,2,Jurisprudência dos Tribunais Superiores sobre Princípios Gerais da Atividade Econômica,13,13
Direito Constitucional,15.24,2,"Jurisprudência dos Tribunais Superiores sobre Políticas Urbana, Agrária e Fundiária",4,4
Direito Constitucional,15.25,2,Jurisprudência dos Tribunais Superiores sobre Ordem Social,10,10
Direito Constitucional,15.26,2,"Jurisprudência dos Tribunais Superiores sobre Educação, Cultura e Desporto",12,12
Direito Constitucional,15.27,2,"Jurisprudência dos Tribunais Superiores sobre Família, Criança, Adolescente, Jovem e Idoso",1,1
Direito Constitucional,15.28,2,Jurisprudência dos Tribunais Superiores sobre Atos das Disposições Constitucionais Transitórias,1,1
Direito Constitucional,15.29,2,Jurisprudência dos Tribunais Superiores sobre Controle de Constitucionalidade,150,150
Direito Constitucional,15.30,2,Jurisprudência dos Tribunais Superiores sobre Simetria Constitucional,8,8
Direito Constitucional,15.31,2,Jurisprudência dos Tribunais Superiores Sobre Outros Assuntos em Matéria Constitucional,9,9
Direito Constitucional,16,1,Sem Classificação,361,361
