Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Administração Financeira e Orçamentária,17.08,2,Notas Explicativas (AFO e CPU),9,9
Administração Financeira e Orçamentária,17.09,2,Consolidação das Demonstrações Contábeis,25,25
Administração Financeira e Orçamentária,17.10,2,Balancete,8,8
Administração Financeira e Orçamentária,17.11,2,"Tópicos Mesclados de Demonstrações Contábeis (MCASP, NBC TSP e Lei nº 4.320/1964)",18,18
Administração Financeira e Orçamentária,18,1,Custos no Setor Público,120,120
Administração Financeira e Orçamentária,18.01,2,NBC T 16.11 e MIC 1ª Edição - Sistema de Informação de Custos do Setor Público,84,84
Administração Financeira e Orçamentária,18.02,2,NBC TSP 34 - Custos no Setor Público,23,23
Administração Financeira e Orçamentária,18.03,2,Demais Temas sobre Custos no Setor Público,13,13
Administração Financeira e Orçamentária,19,1,Lei de Responsabilidade Fiscal - LRF (Lei Complementar nº 101/2000),1967,1967
Administração Financeira e Orçamentária,19.01,2,Disposições Preliminares (arts. 1º e 2º da LRF),137,137
Administração Financeira e Orçamentária,19.02,2,Planejamento e Orçamento Público (arts. 3º a 10 da LRF),422,422
Administração Financeira e Orçamentária,19.03,2,Da Receita Pública (arts. 11 a 14 da LRF),181,181
Administração Financeira e Orçamentária,19.04,2,Da Despesa Pública (arts. 15 a 24 da LRF),332,332
Administração Financeira e Orçamentária,19.04.01,3,Geração de Despesa e Despesa Obrigatória de Caráter Continuado (arts. 15 a 17 da LRF),96,96
Administração Financeira e Orçamentária,19.04.02,3,Despesas com Pessoal e Seguridade Social (arts. 18 a 24 da LRF),236,236
Administração Financeira e Orçamentária,19.05,2,Das Transferências Voluntárias (art. 25 da LRF),62,62
Administração Financeira e Orçamentária,19.06,2,Da Destinação de Recursos para o Setor Privado (arts. 26 a 28 da LRF),41,41
Administração Financeira e Orçamentária,19.07,2,Dívida Pública e Endividamento (arts. 29 a 42 da LRF),294,294
Administração Financeira e Orçamentária,19.07.01,3,"Definições, Limites e Recondução da Dívida (arts. 29 a 31 da LRF)",116,116
Administração Financeira e Orçamentária,19.07.02,3,Operações de Crédito (arts. 32 a 39 da LRF),133,133
Administração Financeira e Orçamentária,19.07.03,3,"Garantia, Contragarantia e Restos a Pagar (arts. 40 a 42 da LRF)",45,45
Administração Financeira e Orçamentária,19.08,2,Gestão Patrimonial (arts. 43 a 47 da LRF),38,38
Administração Financeira e Orçamentária,19.09,2,"Transparência, Controle e Fiscalização (arts. 48 a 59 da LRF)",321,321
Administração Financeira e Orçamentária,19.09.01,3,Transparência da Gestão Fiscal (arts. 48 e 49 da LRF),79,79
Administração Financeira e Orçamentária,19.09.02,3,Escrituração e Consolidação (arts. 50 e 51 da LRF),56,56
Administração Financeira e Orçamentária,19.09.03,3,Relatório Resumido da Execução Orçamentária - RREO (arts. 52 e 53 da LRF),56,56
Administração Financeira e Orçamentária,19.09.04,3,Relatório de Gestão Fiscal - RGF (arts. 54 e 55 da LRF),51,51
Administração Financeira e Orçamentária,19.09.05,3,Controle da Gestão Fiscal (arts. 56 a 59 da LRF),79,79
Administração Financeira e Orçamentária,19.10,2,Disposições Finais e Transitórias (arts. 60 a 75 da LRF),35,35
Administração Financeira e Orçamentária,19.11,2,Temas Mesclados sobre a LRF,104,104
Administração Financeira e Orçamentária,20,1,Manual de Demonstrativos Fiscais,27,27
Administração Financeira e Orçamentária,21,1,Precatórios,77,77
Administração Financeira e Orçamentária,22,1,"Procedimentos Contábeis Específicos (RPPS, FUNDEB etc.)",14,14
Administração Financeira e Orçamentária,23,1,Índices e Análise de Demonstração no Setor Público,11,11
Administração Financeira e Orçamentária,24,1,Lei nº 10.028/2000 - Infração Administrativa Contra as Leis de Finanças Públicas,15,15
Administração Financeira e Orçamentária,25,1,Lei nº 10.522/2002 - CADIN,10,10
Administração Financeira e Orçamentária,26,1,Decreto 2.829/1998: Normas para Elaboração e Execução do PPA e da LOA,4,4
Administração Financeira e Orçamentária,27,1,Normas Estaduais sobre Direito Financeiro e Contabilidade Pública,53,53
Administração Financeira e Orçamentária,27.01,2,Normas sobre Direito Financeiro e Contabilidade Pública do AC,1,1
Administração Financeira e Orçamentária,27.02,2,Normas sobre Direito Financeiro e Contabilidade Pública do CE,20,20
Administração Financeira e Orçamentária,27.03,2,Normas sobre Direito Financeiro e Contabilidade Pública do DF,21,21
Administração Financeira e Orçamentária,27.03.01,3,Lei Complementar Distrital nº 292/2000 - Condições para Instituição e Funcionamento de Fundos (DF),1,1
Administração Financeira e Orçamentária,27.03.02,3,"Decreto Distrital nº 32.598/2010 - Planejamento, Orçamento, Finanças, Patrimônio e Contabilidade",9,9
Administração Financeira e Orçamentária,27.03.03,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do DF,11,11
Administração Financeira e Orçamentária,27.04,2,Normas sobre Direito Financeiro e Contabilidade Pública do ES,2,2
Administração Financeira e Orçamentária,27.05,2,Normas sobre Direito Financeiro e Contabilidade Pública de MG,3,3
Administração Financeira e Orçamentária,27.05.01,3,Decreto Estadual nº 37.924/1996 - Execução Orçamentária e Financeira (MG),2,2
Administração Financeira e Orçamentária,27.05.02,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública de MG,1,1
Administração Financeira e Orçamentária,27.06,2,Normas sobre Direito Financeiro e Contabilidade Pública do PA,1,1
Administração Financeira e Orçamentária,27.07,2,Normas sobre Direito Financeiro e Contabilidade Pública do PE,3,3
Administração Financeira e Orçamentária,27.07.01,3,Lei Estadual nº 7.741/1978 - Código de Administração Financeira (PE),2,2
Administração Financeira e Orçamentária,27.07.02,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do PE,1,1
Administração Financeira e Orçamentária,27.08,2,Normas sobre Direito Financeiro e Contabilidade Pública do PI,1,1
Administração Financeira e Orçamentária,27.09,2,Normas sobre Direito Financeiro e Contabilidade Pública do RJ,1,1
Administração Financeira e Orçamentária,27.09.01,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do RJ,1,1
Administração Financeira e Orçamentária,28,1,Normas Municipais sobre Direito Financeiro e Contabilidade Pública,9,9
Administração Financeira e Orçamentária,29,1,Tópicos Mesclados e Demais Temas da Lei nº 4.320/1964,81,81
Administração Financeira e Orçamentária,30,1,Demais Temas de Contabilidade Pública,74,74
